Max temp,Min temp,Avg temp
5.56,1.11,3.33
4.44,0.0,2.22
7.22,1.67,4.44
2.22,-10.0,-3.89
-1.67,-11.67,-6.67
5.0,-3.89,0.56
7.78,-0.56,3.61
7.78,-0.56,3.61
8.33,4.44,6.39
15.0,4.44,9.72
4.44,-3.33,0.56
6.67,-3.89,1.39
-1.11,-5.56,-3.33
3.33,-5.56,-1.11
10.56,1.11,5.83
11.11,5.56,8.33
5.56,-1.11,2.22
-0.56,-7.78,-4.17
-2.22,-8.89,-5.56
2.78,-2.78,0.0
2.22,-3.33,-0.56
-1.11,-6.11,-3.61
-2.78,-4.44,-3.61
1.67,-6.67,-2.5
3.89,-2.22,0.83
8.89,3.33,6.11
8.33,1.11,4.72
5.56,0.0,2.78
5.0,-1.11,1.94
3.89,-2.22,0.83
13.33,2.22,7.78
15.0,6.67,10.83
10.0,3.33,6.67
15.0,5.56,10.28
15.0,6.67,10.83
6.67,-0.56,3.06
4.44,-1.11,1.67
8.33,0.56,4.44
3.89,-2.22,0.83
2.22,-2.78,-0.28
3.89,-0.56,1.67
-0.56,-7.78,-4.17
-2.78,-9.44,-6.11
-5.56,-14.44,-10.0
-9.44,-18.33,-13.89
1.67,-10.56,-4.44
12.22,1.67,6.94
3.89,1.67,2.78
2.22,-2.78,-0.28
3.89,-4.44,-0.28
16.11,3.89,10.0
12.78,6.67,9.72
11.11,3.33,7.22
4.44,1.67,3.06
15.56,2.22,8.89
16.11,2.78,9.44
3.89,-2.78,0.56
5.0,-3.33,0.83
15.56,3.33,9.44
16.11,8.33,12.22
11.11,3.89,7.5
12.78,-1.67,5.56
2.22,-3.33,-0.56
3.89,-1.11,1.39
5.0,-2.22,1.39
6.67,0.0,3.33
15.56,2.22,8.89
19.44,8.33,13.89
25.0,6.67,15.83
26.11,17.22,21.67
20.0,8.89,14.44
15.0,4.44,9.72
16.67,10.0,13.33
10.56,4.44,7.5
13.89,6.67,10.28
18.33,8.89,13.61
17.22,7.22,12.22
13.89,5.56,9.72
7.78,2.22,5.0
6.11,0.0,3.06
10.0,0.0,5.0
13.33,1.67,7.5
21.67,8.89,15.28
12.78,6.67,9.72
22.22,6.67,14.44
12.78,3.33,8.06
12.78,6.11,9.44
16.67,5.56,11.11
11.67,4.44,8.06
13.33,2.78,8.06
22.78,9.44,16.11
26.11,16.11,21.11
16.11,9.44,12.78
10.0,1.11,5.56
7.22,-1.67,2.78
6.11,-3.33,1.39
8.89,-1.11,3.89
14.44,8.89,11.67
10.0,4.44,7.22
6.11,2.22,4.17
10.0,-0.56,4.72
18.33,6.11,12.22
15.0,7.22,11.11
14.44,4.44,9.44
16.67,6.11,11.39
18.33,5.56,11.94
20.0,6.11,13.06
23.89,6.67,15.28
27.78,10.56,19.17
22.78,12.78,17.78
20.56,9.44,15.0
22.78,9.44,16.11
26.11,16.67,21.39
21.67,12.22,16.94
20.0,8.33,14.17
20.56,10.0,15.28
15.56,8.33,11.94
16.67,7.78,12.22
15.0,8.89,11.94
14.44,7.22,10.83
18.33,7.78,13.06
10.56,7.22,8.89
15.56,7.22,11.39
13.33,10.56,11.94
11.11,8.89,10.0
13.89,7.78,10.83
12.22,8.89,10.56
15.56,8.89,12.22
18.89,9.44,14.17
22.22,11.11,16.67
17.22,10.0,13.61
24.44,10.0,17.22
26.67,13.33,20.0
18.33,13.89,16.11
22.78,13.33,18.06
15.0,7.78,11.39
18.89,6.11,12.5
17.78,11.11,14.44
20.0,11.11,15.56
22.78,12.22,17.5
24.44,11.67,18.06
18.89,12.22,15.56
21.11,11.11,16.11
25.56,13.33,19.44
22.78,14.44,18.61
31.11,16.11,23.61
32.22,20.56,26.39
30.56,22.78,26.67
33.33,21.67,27.5
30.56,21.11,25.83
27.78,20.0,23.89
